Index,Book Name,Author,Rating,Number of Votes,Score,Image
1489,The Liar's Dictionary,Eley Williams,3.36,"10,329",89,https://m.media-amazon.com/images/I/71L5YkwBarL.jpg
1490,"City of Shattered Light (Requiem Dark, #1)",Claire Winn,3.77,"1,082",89,https://m.media-amazon.com/images/I/91xBRNN9AuL.jpg
1491,The Maiden of All Our Desires,Peter Manseau,3.75,323,89,"https://m.media-amazon.com/images/I/91XR4jelO5L._UF1000,1000_QL80_.jpg"
1492,"The Duke Who Didn't (Wedgeford Trials, #1)",Courtney Milan,3.91,"5,970",89,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTDaAFfKcHprDWONOpVFMr7o3LVqCABWYAvSA&s
1493,The Matchmaker's Gift,Lynda Cohen Loigman,4.15,"19,078",89,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQyw539wUmRrX3aS1BrRbQ0V68NG62jXaPV_A&s
1494,Last Chance Books,Kelsey Rodkey,3.23,"11,537",89,"https://m.media-amazon.com/images/I/81O1r4lSMcL._UF1000,1000_QL80_.jpg"
1495,Becoming Muhammad Ali,James Patterson,4.17,"4,679",89,"https://m.media-amazon.com/images/I/81ekmXqs1NL._UF1000,1000_QL80_.jpg"
1496,More Myself: A Journey,Alicia Keys,4.14,"17,874",89,"https://m.media-amazon.com/images/I/81CBonEmekL._AC_UF1000,1000_QL80_.jpg"
1497,All Hallows,Christopher Golden,3.54,"8,171",89,"https://m.media-amazon.com/images/I/91z7oO-Qt6L._UF1000,1000_QL80_.jpg"
1498,The Creative Act: A Way of Being,Rick Rubin,4.04,"45,743",89,"https://m.media-amazon.com/images/I/71V1QZH1q1L._UF1000,1000_QL80_.jpg"
1499,Never Finished: Unshackle Your Mind and Win the War Within,David Goggins,4.44,"33,613",89,"https://m.media-amazon.com/images/I/81Le5wW1nKL._AC_UF1000,1000_QL80_.jpg"
1500,Kraken My Heart (Sucker for Love Mysteries #2),K.L. Hiers,3.93,511,89,"https://m.media-amazon.com/images/I/71bgrXZvbuS._UF1000,1000_QL80_.jpg"
1501,Our Team: The Epic Story of Four Men and the World Series That Changed Baseball,Luke Epplin,4.48,"1,334",89,"https://m.media-amazon.com/images/I/81zD9kaVW9L._AC_UF1000,1000_QL80_.jpg"
1502,The Thread Collectors,Shaunna J. Edwards,4.1,"6,630",89,"https://m.media-amazon.com/images/I/81J6APjwxlL._AC_UF1000,1000_QL80_.jpg"
1503,"Make My Move (Hannaford Prep, #5)",J. Bree,4.55,"5,567",89,https://m.media-amazon.com/images/I/71L5YkwBarL.jpg
1504,"The Exception to the Rule (The Improbable Meet-Cute, #1)",Christina Lauren,4.22,"111,355",89,https://m.media-amazon.com/images/I/91xBRNN9AuL.jpg
1505,And Then She Fell,Alicia Elliott,3.9,"3,203",89,"https://m.media-amazon.com/images/I/91XR4jelO5L._UF1000,1000_QL80_.jpg"
1506,Coffeeland: One Man's Dark Empire and the Making of Our Favorite Drug,Augustine Sedgewick,3.59,"1,473",89,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTDaAFfKcHprDWONOpVFMr7o3LVqCABWYAvSA&s
1507,Ντακάρ - Dakar,Θάνος Γώγος,3.67,3,88,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQyw539wUmRrX3aS1BrRbQ0V68NG62jXaPV_A&s
1508,Changing the Equation: 50+ US Black Women in STEM,Tonya Bolden,4.24,49,88,"https://m.media-amazon.com/images/I/81O1r4lSMcL._UF1000,1000_QL80_.jpg"
1509,"The Life You Stole (Life, #2)",Jewel E. Ann,4.05,"5,381",88,"https://m.media-amazon.com/images/I/81ekmXqs1NL._UF1000,1000_QL80_.jpg"
1510,"Bear Bottom (FunJungle, #7)",Stuart Gibbs,4.23,"4,464",88,"https://m.media-amazon.com/images/I/81CBonEmekL._AC_UF1000,1000_QL80_.jpg"
1511,Hollywood Park,Mikel Jollett,4.29,"15,654",88,"https://m.media-amazon.com/images/I/91z7oO-Qt6L._UF1000,1000_QL80_.jpg"
1512,Difficult Women: A History of Feminism in 11 Fights,Helen Lewis,4.23,"4,089",88,"https://m.media-amazon.com/images/I/71V1QZH1q1L._UF1000,1000_QL80_.jpg"
1513,Vagabonds!,Eloghosa Osunde,3.82,"2,749",88,"https://m.media-amazon.com/images/I/81Le5wW1nKL._AC_UF1000,1000_QL80_.jpg"
1514,Lease on Love,Falon Ballard,3.73,"23,768",88,"https://m.media-amazon.com/images/I/71bgrXZvbuS._UF1000,1000_QL80_.jpg"
1515,"Rebel (Sterling Falls, #3)",S. Massery,4.37,"2,660",88,"https://m.media-amazon.com/images/I/81zD9kaVW9L._AC_UF1000,1000_QL80_.jpg"
1516,Burn,Patrick Ness,3.73,"9,957",88,"https://m.media-amazon.com/images/I/81J6APjwxlL._AC_UF1000,1000_QL80_.jpg"
1517,You Should See Me in a Crown,Leah Johnson,4.08,"42,129",88,https://m.media-amazon.com/images/I/71L5YkwBarL.jpg
1518,Santiago's Road Home,Alexandra Diaz,4.32,794,88,https://m.media-amazon.com/images/I/91xBRNN9AuL.jpg
1519,"For the First Time, Again (Take Them to the Stars, #3)",Sylvain Neuvel,3.9,"1,020",88,"https://m.media-amazon.com/images/I/91XR4jelO5L._UF1000,1000_QL80_.jpg"
1520,"Blood Heir (Aurelia Ryder, #1; World of Kate Daniels, #15)",Ilona Andrews,4.46,"20,996",88,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTDaAFfKcHprDWONOpVFMr7o3LVqCABWYAvSA&s
1521,"Be Water, My Friend: The True Teachings of Bruce Lee",Shannon Lee,4.18,"5,673",88,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQyw539wUmRrX3aS1BrRbQ0V68NG62jXaPV_A&s
1522,A Fae's Two Alphas,Jem Zero,3.75,99,88,"https://m.media-amazon.com/images/I/81O1r4lSMcL._UF1000,1000_QL80_.jpg"
1523,"The Unforgettable Logan Foster (Logan Foster, #1)",Shawn Peters,4.02,"1,105",88,"https://m.media-amazon.com/images/I/81ekmXqs1NL._UF1000,1000_QL80_.jpg"
1524,"The Rise and Reign of the Mammals: A New History, from the Shadow of the Dinosaurs to Us",Steve Brusatte,4.37,"5,552",88,"https://m.media-amazon.com/images/I/81CBonEmekL._AC_UF1000,1000_QL80_.jpg"
1525,Angels Adrift (A Mercy Allcutt Mystery #6),Alice Duncan,4.56,194,88,"https://m.media-amazon.com/images/I/91z7oO-Qt6L._UF1000,1000_QL80_.jpg"
1526,The Seed Keeper,Diane Wilson,4.29,"17,839",88,"https://m.media-amazon.com/images/I/71V1QZH1q1L._UF1000,1000_QL80_.jpg"
1527,What Stars Are Made of,Sarah Allen,4.33,950,88,"https://m.media-amazon.com/images/I/81Le5wW1nKL._AC_UF1000,1000_QL80_.jpg"
1528,Love and Other Human Errors,Bethany Clift,4.21,"1,012",88,"https://m.media-amazon.com/images/I/71bgrXZvbuS._UF1000,1000_QL80_.jpg"
1529,"The Last Bloodcarver (The Last Bloodcarver, #1)",Vanessa Le,3.98,"2,352",88,"https://m.media-amazon.com/images/I/81zD9kaVW9L._AC_UF1000,1000_QL80_.jpg"
1530,What Big Teeth,Rose Szabo,3.37,"6,651",88,"https://m.media-amazon.com/images/I/81J6APjwxlL._AC_UF1000,1000_QL80_.jpg"
1531,When We Lost Our Heads,Heather O'Neill,3.97,"12,229",88,https://m.media-amazon.com/images/I/71L5YkwBarL.jpg
1532,Cuba: An American History,Ada Ferrer,4.46,"4,027",88,https://m.media-amazon.com/images/I/91xBRNN9AuL.jpg
1533,Antigone Rising: The Subversive Power of the Ancient Myths,Helen Morales,3.98,"1,736",88,"https://m.media-amazon.com/images/I/91XR4jelO5L._UF1000,1000_QL80_.jpg"
1534,A Princess for Christmas,Jenny Holiday,3.58,"7,616",87,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTDaAFfKcHprDWONOpVFMr7o3LVqCABWYAvSA&s
1535,"Αντι-γόνη, Αντι-θεός, Αντι-τύραννος",Σάββας Μιχαήλ,3.78,9,87,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQyw539wUmRrX3aS1BrRbQ0V68NG62jXaPV_A&s
1536,Musical Chairs,Amy Poeppel,3.81,"8,247",87,"https://m.media-amazon.com/images/I/81O1r4lSMcL._UF1000,1000_QL80_.jpg"
1537,"Keep Moving: Notes on Loss, Creativity, and Change",Maggie Smith,3.9,"6,154",87,"https://m.media-amazon.com/images/I/81ekmXqs1NL._UF1000,1000_QL80_.jpg"
1538,Just Pursuit: A Black Prosecutor's Fight for Fairness,Laura Coates,4.2,"1,676",87,"https://m.media-amazon.com/images/I/81CBonEmekL._AC_UF1000,1000_QL80_.jpg"
1539,Lote,Shola von Reinhold,4.07,"1,547",87,"https://m.media-amazon.com/images/I/91z7oO-Qt6L._UF1000,1000_QL80_.jpg"
1540,Pretty Little Wife,Darby Kane,3.92,"64,746",87,"https://m.media-amazon.com/images/I/71V1QZH1q1L._UF1000,1000_QL80_.jpg"
1541,Flyaway,Kathleen Jennings,3.56,"3,013",87,"https://m.media-amazon.com/images/I/81Le5wW1nKL._AC_UF1000,1000_QL80_.jpg"
1542,I Have Something to Tell You,Chasten Glezman Buttigieg,4.23,"6,364",87,"https://m.media-amazon.com/images/I/71bgrXZvbuS._UF1000,1000_QL80_.jpg"
1543,"Count Your Lucky Stars (Written in the Stars, #3)",Alexandria Bellefleur,3.96,"23,768",87,"https://m.media-amazon.com/images/I/81zD9kaVW9L._AC_UF1000,1000_QL80_.jpg"
1544,"The Oleander Sword (The Burning Kingdoms, #2)",Tasha Suri,4.34,"9,066",87,"https://m.media-amazon.com/images/I/81J6APjwxlL._AC_UF1000,1000_QL80_.jpg"
1545,Transcendent: Art and Dharma in a Time of Collapse,Curtis White,3.58,19,87,https://m.media-amazon.com/images/I/71L5YkwBarL.jpg
1546,When the Moon Turns Blue,Pamela Terry,4.07,924,87,https://m.media-amazon.com/images/I/91xBRNN9AuL.jpg
1547,Unfair Play: The Battle For Women's Sport,Sharron Davies,4.25,146,87,"https://m.media-amazon.com/images/I/91XR4jelO5L._UF1000,1000_QL80_.jpg"
1548,The House of Eve,Sadeqa Johnson,4.25,"99,628",87,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTDaAFfKcHprDWONOpVFMr7o3LVqCABWYAvSA&s
1549,When These Mountains Burn,David Joy,4.07,"3,777",87,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQyw539wUmRrX3aS1BrRbQ0V68NG62jXaPV_A&s
1550,"After We Gazed at the Starry Sky, Vol. 1",Bisco Kida,3.95,782,87,"https://m.media-amazon.com/images/I/81O1r4lSMcL._UF1000,1000_QL80_.jpg"
1551,Otherlands: A Journey Through Earth's Extinct Worlds,Thomas Halliday,4.12,"5,033",87,"https://m.media-amazon.com/images/I/81ekmXqs1NL._UF1000,1000_QL80_.jpg"
1552,The Magnolia Palace,Fiona Davis,3.88,"72,840",87,"https://m.media-amazon.com/images/I/81CBonEmekL._AC_UF1000,1000_QL80_.jpg"
1553,Lunar New Year Love Story,Gene Luen Yang,4.41,"4,394",87,"https://m.media-amazon.com/images/I/91z7oO-Qt6L._UF1000,1000_QL80_.jpg"
1554,"Stealing Home (Beyond the Play, #3)",Grace Reilly,3.67,"23,702",87,"https://m.media-amazon.com/images/I/71V1QZH1q1L._UF1000,1000_QL80_.jpg"
1555,If I Survive You,Jonathan Escoffery,3.69,"11,796",87,"https://m.media-amazon.com/images/I/81Le5wW1nKL._AC_UF1000,1000_QL80_.jpg"
1556,My Friends,Hisham Matar,4.34,"3,998",87,"https://m.media-amazon.com/images/I/71bgrXZvbuS._UF1000,1000_QL80_.jpg"
